REGION,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4
Skanderborg,56044,56149,56308,56433,56636,56763,56997,57162,57303,57385,57537,57631,57717,57790,57985,58036,58008,58013,58071,57999,58094,58127,58200,58137,58176,58283,58444,58586,58782,58867,59059,59338,59481,59778,59983,60164,60401,60549,60748,60996,61158,61266,61548,61720,61974,62144,62286,62479
Syddjurs,41281,41257,41318,41422,41314,41312,41353,41434,41392,41469,41599,41680,41734,41768,41750,41872,41815,41862,41894,41874,41894,41719,41726,41769,41719,41671,41714,41657,41652,41755,41887,41950,41889,41846,41877,41985,42021,41997,42165,42392,42468,42520,42636,42700,42768,42862,42900,42976
Aarhus,298538,298710,298501,302080,302618,303218,303107,307000,306650,307119,306799,310653,310956,311235,310801,314144,314545,315193,314887,318757,319094,319747,319680,323644,323893,324330,323477,326676,326246,326984,326612,330563,330639,331332,331505,335728,335684,336370,336411,340376,340421,341372,341497,345755,345332,345545,345635,349977
Herning,84208,84466,84627,85088,85217,85318,85283,85375,85548,85647,85684,85754,85852,85905,85941,86321,86348,86368,86464,86545,86595,86582,86688,86778,86842,86813,86929,86793,86864,87068,87223,87382,87593,87840,88118,88410,88386,88516,88660,88727,88733,88744,88839,88886,88917,88973,89128,89085
Holstebro,57020,57172,57199,57087,57267,57235,57241,57089,57056,57159,57215,57134,57161,57213,57290,57064,57153,57217,57299,57203,57254,57324,57393,57239,57338,57411,57526,57422,57494,57574,57680,57562,57661,57842,57949,58008,58125,58277,58399,58373,58418,58450,58546,58457,58504,58525,58543,58566
Ikast-Brande,39893,39979,40116,40138,40176,40210,40358,40294,40312,40350,40417,40484,40571,40609,40657,40582,40658,40625,40606,40517,40468,40458,40505,40563,40602,40620,40763,40616,40598,40703,40893,40812,40798,40864,41080,41045,40981,41155,41387,41290,41191,41320,41458,41395,41282,41436,41664,41506
Lemvig,22067,21992,22020,21921,21946,21894,21888,21812,21790,21718,21737,21571,21554,21545,21561,21386,21384,21326,21310,21194,21223,21111,21070,20920,20933,20894,20838,20630,20657,20573,20599,20475,20399,20352,20385,20249,20291,20346,20303,20133,20133,20098,20131,20015,19998,19934,19938,19748
Ringkøbing-Skjern,58368,58426,58648,58718,58803,58784,58760,58551,58439,58378,58356,58111,58068,58081,58181,57899,57892,57904,57871,57552,57529,57431,57431,57127,57093,57148,57215,56962,57042,57035,57174,57094,57139,57077,57060,56968,57022,57100,57176,57012,57005,57029,57099,56942,56930,56975,56883,56622
Skive,48356,48312,48420,48310,48300,48319,48341,48131,48137,48121,48122,47964,47986,47940,47948,47617,47620,47620,47598,47278,47291,47249,47256,46985,46942,46938,46949,46655,46641,46686,46715,46492,46639,46661,46715,46577,46540,46555,46663,46557,46599,46516,46413,46265,46224,46138,46151,45924
Struer,22672,22680,22729,22685,22642,22615,22593,22496,22483,22423,22389,22194,22190,22254,22235,22101,22098,22057,22082,21889,21846,21777,21742,21591,21533,21576,21594,21412,21439,21400,21422,21400,21474,21474,21494,21384,21347,21324,21338,21238,21270,21277,21306,21170,21143,21161,21124,21014
Viborg,92084,92266,92433,92628,92823,93077,93173,93290,93310,93474,93594,93636,93498,93650,93745,93794,93819,93984,94100,94173,94333,94461,94596,94423,94486,94622,94788,94994,94985,95247,95567,95710,95776,96101,96166,96272,96477,96682,96884,96880,96883,97118,97061,97181,97113,97256,97245,97084
Region Nordjylland,578839,579148,579602,580391,580515,579908,579741,579689,579628,579489,579422,579275,579829,579787,579824,580293,579996,579595,579332,580273,580272,579849,579864,580886,581057,581115,581340,582413,582632,582664,583471,584918,585499,585769,586104,587421,587335,587446,587611,588962,589148,588766,588888,590010,589755,589605,589731,590580
Brønderslev,35525,35508,35646,35702,35762,35729,35769,35808,35804,35784,35806,35807,35789,35784,35828,35719,35754,35733,35722,35621,35600,35626,35637,35634,35627,35603,35694,35714,35781,35827,35968,35982,36047,36022,36115,36172,36128,36136,36210,36158,36289,36373,36357,36328,36370,36339,36435,36404
Frederikshavn,62751,62733,62654,62581,62525,62378,62391,62108,62007,61897,61868,61633,61576,61532,61556,61317,61158,61020,61078,60812,60775,60700,60692,60517,60458,60469,60538,60396,60377,60284,60376,60313,60246,60340,60478,60402,60356,60308,60311,60171,60140,60110,60197,60049,59987,59960,59906,59761
Hjørring,67121,67143,67250,67123,67102,67059,67069,66819,66803,66711,66720,66496,66473,66444,66487,66264,66178,66105,66056,65793,65767,65669,65637,65363,65405,65468,65564,65329,65295,65347,65447,65359,65411,65308,65367,65303,65307,65345,65412,65298,65257,65185,65058,64899,64665,64668,64659,64610
Jammerbugt,38957,39005,39088,39037,38990,38945,38969,38971,38927,38839,38873,38741,38733,38726,38732,38645,38611,38651,38690,38645,38597,38519,38462,38343,38351,38325,38423,38367,38293,38328,38513,38453,38466,38543,38621,38555,38581,38657,38669,38639,38638,38590,38591,38552,38460,38480,38440,38461
Læsø,2003,2009,2002,1991,1993,1980,1990,1985,1969,1964,1975,1959,1949,1939,1947,1917,1897,1880,1883,1851,1839,1842,1864,1837,1808,1794,1807,1802,1795,1799,1808,1817,1817,1820,1825,1801,1793,1808,1804,1789,1807,1807,1809,1821,1806,1817,1812,1797
Mariagerfjord,42667,42670,42683,42761,42762,42718,42741,42660,42604,42553,42544,42523,42572,42570,42569,42555,42429,42370,42327,42273,42111,42074,42081,42022,42093,42057,42095,42010,42134,42107,42200,42090,42131,42115,42132,42084,42066,42055,42092,42088,42125,42086,42177,42116,42055,41958,41951,41808
Morsø,22091,22166,22161,22136,22098,22022,22038,21876,21833,21765,21789,21651,21600,21519,21570,21439,21474,21366,21327,21193,21189,21135,21129,20993,21003,20971,20941,20855,20816,20784,20774,20647,20629,20719,20707,20653,20665,20629,20600,20551,20514,20501,20503,20436,20403,20394,20366,20241
Rebild,28753,28798,28890,28873,28900,28866,28892,28868,28852,28896,28901,28894,28940,28958,29005,28938,28911,28879,28963,28813,28866,28819,28883,28821,28794,28820,28925,28863,28859,28952,29057,29044,29149,29162,29290,29265,29391,29510,29612,29765,29827,29891,29935,29852,29916,29917,30073,30116
Thisted,45549,45609,45676,45506,45596,45430,45459,45309,45297,45296,45323,45144,45145,45103,45112,44893,44908,44864,44770,44476,44494,44407,44486,44255,44230,44205,44249,44075,44078,44016,44110,43932,43991,43993,44011,43847,43826,43842,43887,43751,43716,43742,43758,43654,43660,43584,43553,43416
Vesthimmerlands,38277,38362,38504,38543,38495,38393,38327,38217,38106,38082,38107,37926,37864,37775,37748,37601,37534,37595,37632,37595,37586,37561,37620,37487,37479,37478,37474,37393,37399,37409,37433,37338,37296,37297,37282,37265,37285,37280,37330,37285,37277,37240,37232,37181,37121,37045,37026,36824
Aalborg,195145,195145,195048,196138,196292,196388,196096,197068,197426,197702,197516,198501,199188,199437,199270,201005,201142,201132,200884,203201,203448,203497,203373,205614,205809,205925,205630,207609,207805,207811,207785,209943,210316,210450,210276,212074,211937,211876,211684,213467,213558,213241,213271,215122,215312,215443,215510,217142
