REGION,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4
Vallensbæk,12399,12710,12900,13193,13365,13508,13639,13868,14045,14162,14283,14378,14445,14444,14526,14592,14565,14603,14644,14699,14797,14839,14874,15059,15095,15103,15103,15192,15204,15203,15317,15402,15419,15484,15556,15643,15705,15727,15872,16031,16280,16447,16532,16642,16654,16649,16671,16646
Allerød,23493,23515,23650,23775,23821,23876,23943,24047,24089,24131,24169,24094,24096,24064,24105,24045,24043,24047,24058,24121,24073,24048,24082,24115,24175,24201,24250,24293,24411,24459,24551,24633,24732,24809,24828,24925,24942,25036,25161,25236,25235,25303,25427,25544,25646,25697,25729,25673
Egedal,40533,40733,40900,40983,41031,41021,41187,41428,41513,41584,41588,41576,41614,41690,41765,41799,41821,41816,41908,42017,42018,42027,42141,42241,42210,42297,42441,42546,42573,42607,42672,42743,42773,42770,42907,42915,43082,43020,43058,43006,43000,43063,43129,43267,43335,43339,43383,43446
Fredensborg,39240,39148,39214,39293,39254,39260,39265,39243,39226,39147,39188,39314,39341,39424,39495,39514,39565,39506,39554,39539,39462,39424,39456,39549,39585,39551,39701,39810,39772,39897,39952,40036,40112,40110,40223,40470,40504,40554,40558,40778,40779,40783,40812,40764,40819,40854,40867,40821
Frederikssund,44102,44150,44245,44271,44246,44206,44314,44239,44182,44197,44380,44369,44307,44256,44422,44371,44345,44324,44467,44401,44365,44282,44381,44455,44401,44341,44555,44512,44413,44514,44709,44796,44725,44767,44909,45030,45036,45079,45195,45162,45189,45176,45272,45373,45332,45360,45370,45276
Furesø,37667,37753,37810,37760,37864,38018,38158,38252,38232,38221,38238,38284,38286,38269,38382,38221,38243,38174,38177,38172,38236,38191,38241,38348,38492,38589,38670,38867,39077,39259,39636,39934,40156,40325,40486,40604,40613,40575,40603,40798,40911,40944,40961,40924,41069,41120,41159,41133
Gribskov,40512,40568,40662,40686,40627,40639,40776,40786,40694,40753,40843,40744,40700,40616,40684,40607,40603,40609,40722,40695,40655,40671,40784,40847,40778,40850,40968,40875,40855,40839,41078,41170,41107,41135,41239,41280,41213,41155,41303,41269,41217,41209,41299,41280,41195,41184,41262,41170
Halsnæs,30824,30767,30926,31012,31013,31043,31131,31114,31077,31042,31125,31082,31056,31060,31150,31068,30980,30873,30904,30827,30803,30725,30821,30675,30647,30644,30750,30744,30736,30743,30915,31002,31049,31069,31180,31159,31162,31202,31293,31315,31168,31247,31338,31378,31271,31277,31395,31495
Helsingør,60844,60832,60839,60921,61053,60933,61121,61178,61143,61287,61300,61367,61368,61287,61359,61428,61493,61585,61699,61629,61613,61561,61564,61551,61519,61538,61658,61660,61632,61780,61964,62093,62092,62188,62442,62554,62443,62531,62620,62676,62686,62657,62663,62661,62567,62610,62664,62709
Hillerød,46568,46607,46771,46937,47081,47118,47240,47339,47473,47602,47683,47803,47916,47986,48104,48232,48203,48264,48214,48285,48315,48254,48344,48496,48695,48728,48796,48944,49108,49270,49407,49546,49672,49711,49903,50050,50109,50262,50340,50351,50650,50636,50835,50874,50998,51150,51222,51203
